issuer,issue_date,listing_date,issue_price,listing_day_close,listing_day_return,status
Metalic Technoforge Limited,2026-07-21,,,,,listed_alive
Caliber Mining and Logistics Limited,2026-07-17,2026-07-24,424.0,528.2,0.2457547169811322,listed_alive
SBI Funds Management Limited,2026-07-14,2026-07-21,574.0,609.75,0.062282229965156796,listed_alive
Alpine Texworld Limited,2026-07-14,2026-07-21,105.0,99.75,-0.05,listed_alive
Laser Power & Infra Limited,2026-07-09,2026-07-16,214.0,262.42,0.22626168224299073,listed_alive
Happy Steels Limited,2026-07-09,2026-07-16,66.0,68.5,0.03787878787878788,listed_alive
Kusumgar Limited,2026-07-08,2026-07-15,419.0,602.8,0.4386634844868734,listed_alive
IC Electricals Company Limited,2026-07-03,2026-07-10,99.0,174.3,0.7606060606060607,listed_alive
Knack Packaging Limited,2026-07-01,2026-07-08,170.0,182.98,0.07635294117647053,listed_alive
Vinit Mobile Limited,2026-06-30,2026-07-07,158.0,147.25,-0.0680379746835443,listed_alive
Teja Engineering Industries Limited,2026-06-30,2026-07-07,220.0,438.9,0.9949999999999999,listed_alive
Aastha Spintex Limited,2026-06-29,2026-07-06,136.0,136.49,0.003602941176470655,listed_alive
IC Electricals Company Limited-Issue postponed,2026-06-25,,,,,listed_alive
CSM Technologies Limited,2026-06-24,2026-07-02,113.0,107.35,-0.05000000000000005,listed_alive
Sri Priyanka Geo Commex Limited-Issue Withdrawn,2026-06-24,,,,,listed_alive
Advit Jewels Limited,2026-06-23,2026-07-01,138.0,179.46,0.3004347826086957,listed_alive
Waterways Leisure Tourism Limited,2026-06-23,2026-07-01,808.0,668.1,-0.1731435643564356,listed_alive
Shreedhar Spinners Limited,2026-06-23,2026-07-01,53.0,57.1,0.07735849056603776,listed_alive
Turtlemint Fintech Solutions Limited,2026-06-19,2026-06-29,152.0,135.37,-0.10940789473684208,listed_alive
Avience Biomedicals Limited,2026-06-18,2026-06-25,208.0,414.95,0.994951923076923,listed_alive
Clay Craft India Limited,2026-06-17,2026-06-24,203.0,221.55,0.09137931034482764,listed_alive
Utkal Speciality Industries India Limited,2026-06-10,2026-06-17,66.0,62.7,-0.049999999999999954,listed_alive
Hexagon Nutrition Limited,2026-06-05,2026-06-12,45.0,50.66,0.1257777777777777,listed_alive
GenXAI Analytics Limited,2026-06-05,2026-06-12,116.0,97.4,-0.16034482758620686,listed_alive
CMR Green Technologies Limited,2026-06-03,2026-06-10,192.0,241.2,0.2562499999999999,listed_alive
Q-Line Biotech Limited,2026-05-21,2026-05-29,343.0,474.6,0.38367346938775515,listed_alive
Bio Medica Laboratories Limited,2026-05-21,2026-05-29,139.0,115.8,-0.1669064748201439,listed_alive
Teamtech Formwork Solutions Limited,2026-05-19,2026-05-26,63.0,72.75,0.15476190476190477,listed_alive
NFP Sampoorna Foods Limited,2026-05-18,2026-05-25,55.0,51.8,-0.05818181818181823,listed_alive
RFBL Flexi Pack Limited,2026-05-12,2026-05-19,50.0,55.1,0.10200000000000004,listed_alive
Simca Advertising Limited,2026-05-08,2026-05-15,183.0,163.8,-0.10491803278688519,listed_alive
Bagmane Prime Office REIT,2026-05-05,2026-05-14,100.0,103.6,0.03599999999999994,listed_alive
Value 360 Communications Limited,2026-05-04,2026-05-11,98.0,82.3,-0.1602040816326531,listed_alive
Onemi Technology Solutions Limited,2026-04-30,2026-05-08,171.0,208.63,0.2200584795321637,listed_alive
Amba Auto Sales and Services Limited,2026-04-27,2026-05-05,135.0,135.15,0.0011111111111111532,listed_alive
Adisoft Technologies Limited,2026-04-23,2026-04-30,172.0,215.25,0.251453488372093,listed_alive
Citius Transnet Investment Trust,2026-04-17,2026-04-29,100.0,106.23,0.06230000000000004,listed_alive
Om Power Transmission Limited,2026-04-09,2026-04-17,175.0,193.38,0.1050285714285714,listed_alive
Vivid Electromech Limited,2026-03-25,2026-04-07,555.0,563.05,0.014504504504504422,listed_alive
Powerica Limited,2026-03-24,2026-04-02,395.0,390.0,-0.012658227848101266,listed_alive
Sai Parenteral's Limited,2026-03-24,2026-04-02,392.0,405.7,0.0349489795918367,listed_alive
Amir Chand Jagdish Kumar (Exports) Limited,2026-03-24,2026-04-02,212.0,180.0,-0.1509433962264151,listed_alive
Central Mine Planning & Design Institute Limited,2026-03-20,2026-03-30,172.0,154.06,-0.10430232558139534,listed_alive
GSP Crop Science Limited,2026-03-16,2026-03-24,320.0,356.25,0.11328125,listed_alive
Rajputana Stainless Limited-Special Withdrawal Option,2026-03-12,,,,,listed_alive
Raajmarg Infra Investment Trust,2026-03-11,2026-03-24,100.0,106.88,0.06879999999999996,listed_alive
Apsis Aerocom Limited,2026-03-11,2026-03-18,110.0,160.65,0.4604545454545455,listed_alive
Innovision Limited,2026-03-10,2026-03-23,519.0,374.2,-0.2789980732177264,listed_alive
Rajputana Stainless Limited,2026-03-09,2026-03-19,122.0,113.03,-0.07352459016393442,listed_alive
Srinibas Pradhan Constructions Limited,2026-03-06,2026-03-13,98.0,104.4,0.06530612244897965,listed_alive
Sedemac Mechatronics Limited,2026-03-04,2026-03-11,1352.0,1451.1,0.07329881656804726,listed_alive
Acetech E-Commerce Limited,2026-02-27,2026-03-09,112.0,117.6,0.04999999999999995,listed_alive
Striders Impex Limited,2026-02-26,2026-03-06,72.0,66.5,-0.0763888888888889,listed_alive
Nashik Municipal Corporation,2026-02-25,2026-03-06,125.0,,,listed_alive
Omnitech Engineering Limited,2026-02-25,2026-03-05,227.0,204.93,-0.0972246696035242,listed_alive
Yaap Digital Limited,2026-02-25,2026-03-05,145.0,133.35,-0.08034482758620694,listed_alive
PNGS Reva Diamond Jewellery Limited,2026-02-24,2026-03-04,386.0,411.7,0.06658031088082898,listed_alive
Shree Ram Twistex Limited,2026-02-23,2026-03-02,104.0,71.4,-0.3134615384615384,listed_alive
Clean Max Enviro Energy Solutions Limited,2026-02-23,2026-03-02,1053.0,867.5,-0.1761633428300095,listed_alive
Mobilise App Lab Limited,2026-02-23,2026-03-02,80.0,67.3,-0.15875000000000003,listed_alive
Gaudium IVF and Women Health Limited,2026-02-20,2026-02-27,79.0,80.26,0.01594936708860766,listed_alive
Manilam Industries India Limited,2026-02-20,2026-02-27,69.0,52.45,-0.23985507246376808,listed_alive
IIFL Finance Limited,2026-02-17,2026-03-13,,,,listed_alive
Marushika Technology Limited,2026-02-12,2026-02-19,117.0,114.0,-0.02564102564102564,listed_alive
Aye Finance Limited,2026-02-09,2026-02-16,129.0,128.91,-0.0006976744186046776,listed_alive
Fractal Analytics Limited,2026-02-09,2026-02-16,900.0,847.15,-0.058722222222222245,listed_alive
Biopol Chemicals Limited,2026-02-06,2026-02-13,108.0,105.5,-0.023148148148148147,listed_alive
Grover Jewells Limited,2026-02-04,2026-02-11,88.0,100.8,0.14545454545454542,listed_alive
NFP Sampoorna Foods Limited-Issue Withdrawn,2026-02-04,,,,,listed_alive
Brandman Retail Limited,2026-02-04,2026-02-11,176.0,192.15,0.09176136363636367,listed_alive
C K K Retail Mart Limited,2026-01-30,2026-02-06,163.0,171.15,0.05000000000000004,listed_alive
KRM Ayurveda Limited,2026-01-21,2026-01-29,135.0,180.7,0.33851851851851844,listed_alive
Shadowfax Technologies Limited,2026-01-20,2026-01-28,124.0,109.98,-0.11306451612903222,listed_alive
Power Finance Corporation Limited,2026-01-16,2026-03-05,,,,listed_alive
Power Finance Corporation Limited (Zero Coupon NCD),2026-01-16,,,,,listed_alive
Armour Security (India). Ltd,2026-01-14,2026-01-22,57.0,43.35,-0.23947368421052628,listed_alive
